;Full Name;Position;Weight;20-Yard Shuttle;3-Cone Drill;40-Yard Dash;Agility Score;Athleticism Score;Bench Press;Broad Jump;Burst Score;Height-adjusted Speed Score;Assisted Tackles (2016);Assisted Tackles (2017);Assisted Tackles (2018);Assisted Tackles (2019);Assisted Tackles (2020);Batted Passes (2016);Batted Passes (2017);Batted Passes (2018);Batted Passes (2019);Batted Passes (2020);Forced Fumbles (2016);Forced Fumbles (2017);Forced Fumbles (2018);Forced Fumbles (2019);Forced Fumbles (2020);Fumble Recoveries (2016);Fumble Recoveries (2017);Fumble Recoveries (2018);Fumble Recoveries (2019);Fumble Recoveries (2020);Playmaking Radius;Run Stuffs (2016);Run Stuffs (2017);Run Stuffs (2018);Run Stuffs (2019);Run Stuffs (2020);SPARQ-x;Sack Yards (2016);Sack Yards (2017);Sack Yards (2018);Sack Yards (2019);Sack Yards (2020);Speed Score;Vertical Jump;Assisted Tackles Per Game (2016);Assisted Tackles Per Game (2017);Assisted Tackles Per Game (2018);Assisted Tackles Per Game (2019);Assisted Tackles Per Game (2020);Pass Break-ups (2018);Pass Break-ups (2019);Pass Break-ups (2020);Sacks (2016);Sacks (2017);Sacks (2018);Sacks (2019);Sacks (2020);Snap Share (2014);Snap Share (2016);Snap Share (2017);Snap Share (2018);Snap Share (2019);Snap Share (2020);Snaps (2016);Snaps (2017);Snaps (2018);Snaps (2019);Snaps (2020);Solo Tackles (2016);Solo Tackles (2017);Solo Tackles (2018);Solo Tackles (2019);Solo Tackles (2020);Solo Tackles Per Game (2016);Solo Tackles Per Game (2017);Solo Tackles Per Game (2018);Solo Tackles Per Game (2019);Solo Tackles Per Game (2020);Tackles For Loss (2016);Tackles For Loss (2017);Tackles For Loss (2018);Tackles For Loss (2019);Tackles For Loss (2020);Total Tackles (2016);Total Tackles (2017);Total Tackles (2018);Total Tackles (2019);Total Tackles (2020);Total Tackles Per Game (2016);Total Tackles Per Game (2017);Total Tackles Per Game (2018);Total Tackles Per Game (2019);Total Tackles Per Game (2020);Age;Arm Length;BMI;Best Comparable Player (1);Best Comparable Player (2);Best Comparable Player (3);Best Comparable Player (4);Best Comparable Player (5);College;Draft Pick;Draft Year;Hand Size;Height (Inches);Team
0;A'Shawn Robinson;DL;322 lbs;4,74;7,8;5,2;12,54;100,6;22,0;106,0;97,2;;8,0;21,0;18,0;11,0;6,0;0,0;0,0;0,0;3,0;1,0;0,0;1,0;1,0;1,0;0,0;0,0;0,0;1,0;2,0;0,0;9,74;5,0;5,0;2,0;2,0;0,0;93,2;5,0;9,0;8,0;9,0;0,0;88,1;26,0;0,5;1,4;1,4;0,9;1,0;0,0;0,0;0,0;2,0;0,5;1,0;1,5;0,0;;42.3%;70.3%;53.6%;61.7%;19.2%;409,0;686,0;774,0;802,0;386,0;22,0;31,0;30,0;30,0;3,0;1,4;2,1;2,3;2,5;0,5;5,0;5,0;2,0;2,0;0,0;30,0;52,0;48,0;41,0;9,0;1,9;3,5;3,7;3,4;1,5;25,9;34 1/2;41,3;Montori Hughes;Cam Thomas;DaQuan Jones;Lavon Hooks;D.J. Reader;Alabama;2.15;2016;10 1/2;74;Los Angeles Rams
1;A.J. Francis;DL;337 lbs;4,58;7,45;5,24;12,03;102,3;24,0;112,0;105,3;;0,0;17,0;;;;0,0;0,0;;;;0,0;0,0;;;;0,0;0,0;;;;10,07;0,0;1,0;;;;105,6;0,0;0,0;;;;89,4;29,0;;2,8;;;;;;;0,0;0,0;;;;;;39.5%;;;;0,0;165,0;;;;0,0;2,0;;;;;0,3;;;;0,0;1,0;;;;0,0;19,0;;;;;3,2;;;;30,7;33 1/2;40,0;Paul Soliai;John Jenkins;Eddie Goldman;Cam Thomas;Jordan Phillips;Maryland;Undrafted;2013;9 1/2;77;
2;Aaron Donald;DL;285 lbs;4,39;7,11;4,68;11,5;111,2;35,0;115,0;111,9;115,7;14,0;11,0;23,0;23,0;18,0;0,0;0,0;1,0;2,0;1,0;2,0;5,0;4,0;2,0;3,0;0,0;1,0;2,0;1,0;1,0;10,38;11,0;7,0;9,0;10,0;4,0;144,6;62,0;95,0;187,0;82,0;87,0;118,8;32,0;0,9;0,8;1,4;1,4;1,5;0,0;0,0;0,0;8,0;11,0;20,5;12,0;12,5;;79.5%;81.4%;94.9%;88.9%;80.1%;828,0;741,0;962,0;1057,0;748,0;33,0;29,0;35,0;24,0;21,0;2,1;2,1;2,2;1,5;1,8;12,0;7,0;9,0;11,0;4,0;47,0;40,0;58,0;47,0;39,0;2,9;2,9;3,6;2,9;3,3;29,7;32 5/8;37,6;Geno Atkins;Connor Wujciak;Frostee Rucker;Xavier Cooper;Louis Trinca-Pasat;Pittsburgh;1.13;2014;9 7/8;73;Los Angeles Rams
3;Abdullah Anderson;DL;303 lbs;4,68;7,38;5,17;12,06;102,2;32,0;106,0;104,0;;;;;1,0;;;;;0,0;;;;;0,0;;;;;0,0;;10,0;;;;0,0;;117,3;;;;8,0;;84,8;30,0;;;;0,3;;;0,0;;;;;1,0;;;;;;40.6%;;;;;180,0;;;;;3,0;;;;;1,0;;;;;0,0;;;;;4,0;;;;;1,3;;25,0;32 5/8;37,9;Akeem Spence;Devaroe Lawrence;JoJo Wicker;Treyvon Hester;Zaycoven Henderson;Bucknell;Undrafted;2018;10 3/8;75;Chicago Bears
4;Abry Jones;DL;313 lbs;4,94;7,83;5,06;12,77;100,7;30,0;101,0;95,6;;6,0;7,0;10,0;16,0;6,0;0,0;0,0;2,0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;1,0;0,0;1,0;0,0;9,79;5,0;1,0;4,0;2,0;0,0;107,1;0,0;14,0;0,0;13,0;0,0;95,5;26,5;0,5;0,5;0,8;1,1;1,2;0,0;0,0;0,0;0,0;1,0;1,0;2,0;0,0;;51.8%;51.3%;54.5%;56.9%;50.6%;442,0;445,0;793,0;885,0;314,0;26,0;23,0;20,0;13,0;2,0;2,0;1,6;1,5;0,9;0,4;5,0;1,0;6,0;2,0;0,0;32,0;30,0;30,0;29,0;8,0;2,5;2,1;2,3;2,1;1,6;29,4;35    ;39,1;Jarvis Jenkins;Bennie Logan;Caleb Brantley;Malcolm Brown;Kenny Clark;Georgia;Undrafted;2013;9 3/4;75;Jacksonville Jaguars
5;Adam Butler;DL;293 lbs;4,9;7,51;5,28;12,41;94,7;23,0;101,0;99,0;;0,0;10,0;9,0;10,0;16,0;;;2,0;4,0;2,0;0,0;0,0;2,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;9,4;0,0;1,0;2,0;2,0;2,0;88,8;0,0;20,0;22,0;49,0;21,0;75,4;28,5;;1,0;0,8;0,9;1,6;0,0;0,0;0,0;0,0;2,0;3,0;6,0;3,0;;;45.9%;36.6%;56.3%;45.4%;0,0;297,0;688,0;675,0;625,0;0,0;8,0;9,0;14,0;12,0;;0,8;0,8;1,3;1,2;0,0;1,0;3,0;2,0;2,0;0,0;18,0;18,0;24,0;28,0;;1,8;1,6;2,2;2,8;26,8;32 1/4;35,7;Matthew Godin;Tyson Jackson;Kendall Langford;Sterling Bailey;Jihad Ward;Vanderbilt;Undrafted;2017;9 3/4;76;New England Patriots
6;Adam Gotsis;DL;287 lbs;;;;;;23,0;;;;10,0;16,0;15,0;9,0;17,0;0,0;0,0;6,0;2,0;2,0;0,0;0,0;2,0;0,0;1,0;1,0;1,0;1,0;0,0;0,0;;0,0;3,0;2,0;2,0;4,0;;0,0;4,0;17,0;0,0;0,0;;;1,0;1,1;1,0;1,3;1,3;0,0;0,0;0,0;0,0;1,0;3,0;0,0;0,0;;27.0%;55.8%;50.8%;48.7%;51.3%;183,0;466,0;969,0;466,0;864,0;4,0;23,0;22,0;7,0;17,0;0,4;1,6;1,5;1,0;1,3;0,0;3,0;2,0;2,0;4,0;14,0;39,0;37,0;16,0;34,0;1,4;2,8;2,5;2,3;2,6;28,4;34 1/8;34,9;Mike Bennett;Devaroe Lawrence;Shakir Soto;Ricky Jean-Francois;Mehdi Abdesmad;Georgia Tech;2.32;2016;10 3/4;76;Jacksonville Jaguars
7;Adolphus Washington;DL;301 lbs;4,79;8,06;5,17;12,85;94,9;21,0;99,0;95,4;;12,0;18,0;4,0;;;0,0;0,0;0,0;;;0,0;0,0;0,0;;;0,0;0,0;0,0;;;9,75;2,0;5,0;0,0;;;88,7;16,0;6,0;8,0;;;84,3;27,0;1,3;1,5;1,0;;;0,0;;;2,5;1,0;1,0;;;;34.2%;53.5%;35.8%;;;204,0;430,0;293,0;;;9,0;15,0;4,0;;;1,0;1,3;1,0;;;2,0;5,0;0,0;;;21,0;33,0;8,0;;;2,3;2,8;2,0;;;28,2;34 1/2;37,6;Brandon Mebane;Anthony Johnson;Will Sutton;Nazair Jones;Carlos Watkins;Ohio State;3.17;2016;9 7/8;75;
8;Ahtyba Rubin;DL;315 lbs;5,0;8,05;5,2;13,05;101,4;35,0;106,0;100,6;;16,0;8,0;;;;0,0;0,0;;;;2,0;0,0;;;;0,0;0,0;;;;9,7;5,0;0,0;;;;117,5;9,0;0,0;;;;86,2;28,0;1,1;0,9;;;;;;;1,0;0,0;;;;;60.3%;23.7%;;;;540,0;130,0;;;;21,0;7,0;;;;1,5;0,8;;;;6,0;0,0;;;;37,0;15,0;;;;2,6;1,7;;;;34,5;34 1/2;39,4;Brian Price;Carlos Watkins;Ondre Pipkins;Kyle Love;Woodrow Hamilton;Iowa State;6.24;2008;10 1/4;75;
9;Akeem Spence;DL;307 lbs;4,72;7,82;5,15;12,54;106,2;37,0;107,0;104,5;;11,0;20,0;18,0;4,0;4,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;0,0;9,84;2,0;3,0;3,0;0,0;0,0;129,5;1,0;22,0;10,0;0,0;0,0;87,3;30,0;1,2;1,3;1,4;0,3;1,3;0,0;0,0;12,0;0,5;2,0;2,0;0,0;0,0;;38.6%;64.2%;64.6%;40.2%;27.6%;206,0;626,0;841,0;754,0;203,0;8,0;19,0;23,0;14,0;2,0;0,9;1,3;1,8;1,2;0,7;2,0;4,0;3,0;0,0;0,0;19,0;39,0;41,0;18,0;6,0;2,1;2,6;3,2;1,5;2,0;29,2;33 1/2;40,5;Jarran Reed;Khyri Thornton;Brandon Thompson;Matt Ioannidis;Elijah Qualls;Illinois;4.03;2013;10    ;73;
