;Full Name;Position;20-Yard Shuttle;3-Cone Drill;40-Yard Dash;Agility Score;Athleticism Score;Bench Press;Broad Jump;Burst Score;Height-adjusted Speed Score;SPARQ-x;Speed Score;Vertical Jump;Age;Arm Length;Best Comparable Player (1);Best Comparable Player (2);Best Comparable Player (3);Best Comparable Player (4);Best Comparable Player (5);College;Draft Pick;Draft Year;Hand Size;Height (Inches);Team;Weight
0;A.J. Cann;OL;;;5,47;;;26,0;;;;;69,9;;29,3;32 5/8;Arie Kouandjio;Valerian Ume-Ezeoke;Chance Warmack;Chris Watt;Josh James;South Carolina;3.03;2015;10 1/4;75;Jacksonville Jaguars;313 lbs
1;A.Q. Shipley;OL;4,4;7,46;5,19;11,86;109,1;33,0;100,0;102,7;;128,0;83,8;31,0;;;;;;;;;;;;;;
2;Aaron Neary;OL;4,47;7,53;5,2;12,0;101,3;26,0;104,0;100,5;;107,0;82,3;28,5;28,2;33    ;Eric Wood;Alex Mack;Mike Person;Justin Pugh;Joe Haeg;Eastern Washington;Undrafted;2016;9 7/8;76;Los Angeles Rams;301 lbs
3;Aaron Stinnie;OL;4,65;7,63;5,28;12,28;102,0;21,0;114,0;102,9;;91,7;80,3;27,0;27,0;34 1/4;Clint Boling;Jordan Roos;Michael Oher;Michael Ola;Lucas Patrick;James Madison;Undrafted;2018;9 1/2;75;Tampa Bay Buccaneers;312 lbs
4;Adam Bisnowaty;OL;4,94;8,02;5,23;12,96;95,1;23,0;96,0;98,2;;91,8;81,3;29,5;27,1;33 7/8;Jeff Allen;Ronnie Stanley;John Greco;Jamil Douglas;Branden Albert;Pittsburgh;6.16;2017;11 3/8;78;;304 lbs
5;Adam Gettis;OL;4,65;7,99;4,9;12,64;;;112,0;109,6;;;101,7;31,5;32,2;33 1/8;Earl Watford;Cameron Tom;Greg Van Roten;Deyshawn Bond;Givens Price;Iowa;5.06;2012;9 1/2;74;;293 lbs
6;Adam Pankey;OL;4,71;7,85;5,36;12,56;;;113,0;104,1;;;75,8;28,0;27,0;34 1/2;Andrew Donnal;Andy Levitre;Michael Oher;Will Holden;Ben Jones;West Virginia;Undrafted;2017;10 1/8;77;Miami Dolphins;313 lbs
7;Adam Redmond;OL;4,64;7,51;5,24;12,15;96,4;24,0;99,0;97,1;;97,2;79,6;28,0;;;;;;;;;;;;;;
8;Alex Balducci;OL;4,63;7,55;5,06;12,18;106,6;25,0;113,0;112,6;;110,2;94,6;33,0;26,9;32    ;Laurence Gibson;Khalif Barnes;Michael Liedtke;Connor McGovern;T.J. Clemmings;Oregon;Undrafted;2016;9 3/8;76;;310 lbs
9;Alex Boone;OL;4,69;7,83;5,16;12,52;102,3;33,0;103,0;98,3;;120,5;92,5;27,5;;;;;;;;;;;;;;
10;Alex Cappa;OL;4,84;8,04;5,39;12,88;92,9;24,0;97,0;93,6;;89,9;72,3;26,5;28,8;32 5/8;Cameron Lee;John Wetzel;Erik Magnuson;Kaleb Johnson;Leo Koloamatangi;Humboldt State;3.30;2018;9 1/4;78;Tampa Bay Buccaneers;305 lbs
11;Alex Lewis;OL;4,72;7,94;5,22;12,66;98,8;27,0;100,0;100,2;;105,5;84,0;29,5;28,8;34    ;Maurkice Pouncey;John Theus;Branden Albert;Ethan Pocic;Jamil Douglas;Nebraska;4.32;2016;10    ;78;New York Jets;312 lbs
12;Alex Light;OL;4,81;8,0;5,57;12,81;96,0;26,0;108,0;104,2;;97,0;64,2;29,5;24,8;33 1/4;Ben Jones;John Kling;Amini Silatolu;Adam Pankey;David Yankey;Richmond;Undrafted;2018;11 1/4;77;Green Bay Packers;309 lbs
13;Alex Mack;OL;4,75;7,31;5,22;12,06;101,1;20,0;106,0;101,5;;90,2;83,8;28,5;35,2;33    ;Eric Wood;Aaron Neary;Luke Joeckel;Josh Sitton;Joe Haeg;California;1.21;2009;10 3/4;76;Atlanta Falcons;311 lbs
14;Alex Redmond;OL;4,9;7,75;5,3;12,65;99,1;30,0;111,0;103,1;;102,4;74,5;28,0;26,0;33 1/4;Dieugot Joseph;Ben Jones;Wes Schweitzer;Maurkice Pouncey;Brandon Kublanow;UCLA;3.05;2016;10 1/2;76;Cincinnati Bengals;294 lbs
15;Alex Taylor;OL;4,79;7,77;5,09;12,56;95,8;21,0;116,0;100,5;;88,8;91,8;25,0;23,8;36 1/8;Jackson Barton;Ethan Pocic;Alex Lewis;Emmett Cleary;Bobby Massie;South Carolina State;Undrafted;2020;11 1/4;80;;308 lbs
16;Ali Marpet;OL;4,47;7,33;4,98;11,8;107,7;30,0;108,0;105,9;;123,1;99,8;30,5;27,8;33 3/8;Demetrius Rhaney;Ulrick John;Jake Matthews;David Quessenberry;Hobart;2.29;2015;10    ;76;Tampa Bay Buccaneers;307 lbs;
17;Allen Barbe;OL;4,63;7,4;4,84;12,03;107,1;28,0;105,0;106,9;;119,3;109,3;32,0;;;;;;;;;;;;;;
18;Alvin Bailey;OL;;;4,95;;;27,0;;;;;103,9;;29,4;34 5/8;Trai Turner;Cedric Ogbuehi;Shaquille Mason;Joe Looney;Brandon Scherff;Arkansas;Undrafted;2013;9 3/8;75;;312 lbs
19;Amini Silatolu;OL;4,87;7,95;5,43;12,82;99,4;28,0;107,0;107,1;;103,1;70,2;31,5;32,4;33    ;Ben Jones;Andrew Donnal;Adam Pankey;Jason King;Tyler Shatley;Midwestern State;2.08;2012;10 1/8;76;;305 lbs
20;Andre Dillard;OL;4,4;7,44;4,96;11,84;106,7;24,0;118,0;108,3;;112,6;104,1;29,0;25,3;33 1/2;Taylor Lewan;Ali Marpet;Eric Fisher;Ulrick John;Doug Free;Washington State;1.22;2019;10    ;77;Philadelphia Eagles;315 lbs
21;Andre James;OL;4,84;8,0;5,32;12,84;96,4;21,0;105,0;101,8;;87,5;74,7;29,0;23,8;32    ;Ian Silberman;Dieugot Joseph;Alex Redmond;Brandon Kublanow;Jonotthan Harrison;UCLA;Undrafted;2019;10    ;76;Las Vegas Raiders;299 lbs
22;Andre Smith;OL;4,93;7,88;5,33;12,81;97,6;19,0;94,0;89,5;;82,2;81,8;25,0;34,0;35 3/8;Kraig Urbik;Ethan Cooper;Justin Britt;Jordan Simmons;Mike Iupati;Alabama;1.06;2009;9 3/4;76;Baltimore Ravens;330 lbs
23;Andreas Knappe;OL;;;5,22;;;23,0;106,0;104,0;;;83,8;30,0;29,7;33    ;Emmett Cleary;Andrus Peat;Sam Young;Andrew Donnal;J.P. Flynn;Connecticut;Undrafted;2017;9 3/4;80;;311 lbs
24;Andrew Donnal;OL;4,77;7,84;5,31;12,61;96,4;17,0;101,0;104,9;;87,7;78,7;32,0;28,9;33 1/2;Adam Pankey;Kent Perkins;Jason King;Andrus Peat;Sam Young;Iowa;4.02;2015;10    ;78;Indianapolis Colts;313 lbs
25;Andrew Jelks;OL;4,94;8,06;5,66;13,0;90,6;21,0;101,0;99,8;;83,6;59,8;29,0;;;;;;;;;;;;;;
26;Andrew Lauderdale;OL;4,74;7,27;4,95;12,01;98,0;21,0;103,0;99,1;;94,0;96,9;28,0;;;;;;;;;;;;;;
27;Andrew Norwell;OL;4,93;8,09;5,33;13,02;97,3;22,0;105,0;100,1;;90,3;80,5;28,0;29,3;33 5/8;Joe Barksdale;Jordan Mills;Anthony Davis;Avery Young;Mike Adams;Ohio State;Undrafted;2014;9 7/8;78;Jacksonville Jaguars;325 lbs
28;Andrew Thomas;OL;4,66;7,58;5,22;12,24;101,4;21,0;109,0;106,4;;97,0;84,9;30,5;22,0;36 1/8;Wyatt Teller;Taylor Moton;Mark Glowinski;Brian Winters;Pace Murphy;Georgia;1.04;2020;10 1/4;77;New York Giants;315 lbs
29;Andrew Tiller;OL;4,8;7,92;5,44;12,72;92,9;16,0;85,0;81,6;;75,3;74,0;23,0;31,9;33 1/4;Sebastian Tretola;Avery Gennesy;Larry Warford;Kraig Urbik;Landon Turner;Syracuse;6.09;2012;9 3/8;76;;324 lbs
30;Andrew Whitworth;OL;4,84;8,26;5,16;13,1;102,6;28,0;112,0;107,9;;110,7;94,2;30,5;;;;;;;;;;;;;;
31;Andrew Wylie;OL;4,76;7,46;5,19;12,22;101,8;20,0;115,0;115,3;;95,9;83,8;34,0;;;;;;;;;;;;;;
32;Andrus Peat;OL;4,62;8,01;5,18;12,63;;;105,0;105,2;;;86,9;31,0;27,2;34 3/8;D.J. Humphries;Chad Slade;Le'Raven Clark;Chaz Green;Andrew Donnal;Stanford;1.13;2015;10 5/8;79;New Orleans Saints;313 lbs
33;Andy Gallik;OL;4,58;7,66;5,5;12,24;100,1;29,0;96,0;93,9;;105,8;66,9;27,0;29,4;32 3/4;Chase Roullier;Senio Kelemete;Josh LeRibeus;Zac Kerin;Evan Boehm;Boston College;6.32;2015;10 1/4;74;;306 lbs
