;Full Name;Position;Weight;20-Yard Shuttle;3-Cone Drill;Athleticism Score;Broad Jump;Burst Score;40-Yard Dash;Agility Score;Catch Radius;Height-adjusted Speed Score;Assisted Tackles (2016);Assisted Tackles (2017);Assisted Tackles (2018);Assisted Tackles (2019);Assisted Tackles (2020);Forced Fumbles (2016);Forced Fumbles (2017);Forced Fumbles (2018);Forced Fumbles (2019);Forced Fumbles (2020);Fumble Recoveries (2016);Fumble Recoveries (2017);Fumble Recoveries (2018);Fumble Recoveries (2019);Fumble Recoveries (2020);Interceptions (2016);Interceptions (2017);Interceptions (2018);Interceptions (2019);Interceptions (2020);Pass Break-ups (2017);Pass Break-ups (2018);Pass Break-ups (2019);Pass Break-ups (2020);SPARQ-x;Sack Yards (2016);Sack Yards (2017);Sack Yards (2018);Sack Yards (2019);Sack Yards (2020);Sacks (2016);Sacks (2017);Sacks (2018);Sacks (2019);Sacks (2020);Snap Share (2016);Snap Share (2017);Snap Share (2018);Snap Share (2019);Snap Share (2020);Vertical Jump;Assisted Tackles Per Game (2016);Assisted Tackles Per Game (2017);Assisted Tackles Per Game (2018);Assisted Tackles Per Game (2019);Assisted Tackles Per Game (2020);Batted Passes (2016);Batted Passes (2017);Batted Passes (2018);Batted Passes (2019);Batted Passes (2020);Run Stuffs (2016);Run Stuffs (2017);Run Stuffs (2018);Run Stuffs (2019);Run Stuffs (2020);Snaps (2016);Snaps (2017);Snaps (2018);Snaps (2019);Snaps (2020);Solo Tackles (2016);Solo Tackles (2017);Solo Tackles (2018);Solo Tackles (2019);Solo Tackles (2020);Solo Tackles Per Game (2016);Solo Tackles Per Game (2017);Solo Tackles Per Game (2018);Solo Tackles Per Game (2019);Solo Tackles Per Game (2020);Tackles For Loss (2016);Tackles For Loss (2017);Tackles For Loss (2018);Tackles For Loss (2019);Tackles For Loss (2020);Total Tackles (2016);Total Tackles (2017);Total Tackles (2018);Total Tackles (2019);Total Tackles (2020);Total Tackles Per Game (2016);Total Tackles Per Game (2017);Total Tackles Per Game (2018);Total Tackles Per Game (2019);Total Tackles Per Game (2020);Age;Arm Length;BMI;Best Comparable Player (1);Best Comparable Player (2);Best Comparable Player (3);Best Comparable Player (4);Best Comparable Player (5);College;Draft Pick;Draft Year;Hand Size;Height (Inches);Team
0;A.J. Hendy;S;208 lbs;4,16;7,03;101,9;135,0;136,4;4,61;11,19;10,22;92,1;0,0;0,0;;;;0,0;0,0;;;;0,0;0,0;;;;0,0;0,0;;;;0,0;;;;114,8;0,0;;;;;0,0;0,0;;;;;;;;;40,5;;;;;;0,0;;;;;0,0;0,0;;;;0,0;0,0;;;;0,0;0,0;;;;;;;;;0,0;0,0;;;;0,0;0,0;;;;;;;;;27,8;31 3/4;27,4;Justin Evans;Marcus Williams;Keanu Neal;Eric Reid;Doug Middleton;Maryland;Undrafted;2016;9 3/4;73;
1;A.J. Moore;S;200 lbs;4,38;7,27;99,8;122,0;118,8;4,45;11,65;9,84;102,0;;;;0,0;7,0;;;;0,0;0,0;;;;0,0;0,0;;;;0,0;0,0;;;0,0;0,0;106,9;;;;0,0;10,0;;;;0,0;1,0;;;;12.1%;31.8%;34,0;;;;0,0;1,0;;;;0,0;1,0;;;;0,0;0,0;;;;124,0;472,0;;;;2,0;10,0;;;;1,0;1,4;;;;1,0;0,0;;;;2,0;17,0;;;;1,0;2,4;25,1;32 1/8;27,9;David Jones;Marqueston Huff;Jaylen Watkins;Terrence Brooks;Glover Quin;Mississippi;Undrafted;2018;8 3/4;71;Houston Texans
2;Adrian Amos;S;218 lbs;4,03;7,09;103,0;122,0;121,4;4,56;11,12;10,11;100,8;11,0;9,0;17,0;20,0;15,0;1,0;1,0;0,0;0,0;0,0;1,0;1,0;1,0;0,0;1,0;0,0;1,0;2,0;2,0;1,0;0,0;0,0;0,0;0,0;125,4;0,0;0,0;2,0;4,0;12,0;0,0;0,0;1,0;1,0;2,0;97.6%;;100.0%;100.0%;95.7%;35,5;0,7;0,9;1,1;1,3;1,1;0,0;2,0;6,0;6,0;6,0;1,0;2,0;0,0;0,0;2,0;935,0;0,0;1012,0;1001,0;851,0;50,0;57,0;53,0;61,0;54,0;3,3;5,7;3,3;3,8;3,9;2,0;6,0;1,0;3,0;3,0;61,0;66,0;70,0;81,0;69,0;4,1;6,6;4,4;5,1;4,9;27,8;32 1/4;28,8;J.J. Wilcox;Johnathan Cyprien;Bacarri Rambo;Vinnie Sunseri;2015;Penn State;5.06;9 1/8;73;Green Bay Packers;
3;Adrian Colbert;S;200 lbs;4,31;7,24;95,4;117,0;115,5;4,54;11,55;9,84;94,2;;3,0;8,0;7,0;4,0;;2,0;0,0;0,0;0,0;;1,0;0,0;0,0;0,0;;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;94,5;;0,0;0,0;0,0;0,0;;0,0;0,0;0,0;0,0;;;81.6%;88.1%;76.9%;33,5;;0,3;1,3;1,2;2,0;;4,0;1,0;2,0;0,0;;1,0;0,0;0,0;0,0;;0,0;392,0;412,0;121,0;;29,0;12,0;12,0;6,0;;3,2;2,0;2,0;3,0;;1,0;0,0;0,0;0,0;;32,0;20,0;19,0;10,0;;3,6;3,3;3,2;5,0;27,3;31 3/4;27,1;Matthias Farley;Dwight Lowery;James Sample;Dymonte Thomas;DeAndre Houston-Carson;Miami;7.11;2017;8    ;72;
4;Adrian Phillips;S;210 lbs;4,29;7,1;99,8;115,0;117,9;4,63;11,39;9,87;91,4;14,0;23,0;26,0;10,0;42,0;0,0;1,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;2,0;1,0;0,0;2,0;0,0;0,0;0,0;0,0;99,6;11,0;0,0;0,0;0,0;9,0;11,0;0,0;0,0;0,0;1,0;63.0%;;69.2%;68.9%;75.3%;35,5;1,2;1,8;1,6;1,4;3,0;0,0;3,0;9,0;0,0;2,0;0,0;1,0;3,0;1,0;5,0;481,0;0,0;988,0;409,0;851,0;21,0;37,0;50,0;20,0;57,0;1,8;2,8;3,1;2,9;4,1;0,0;2,0;3,0;1,0;5,0;35,0;60,0;76,0;30,0;99,0;2,9;4,6;4,8;4,3;7,1;28,9;31 1/8;29,3;Rickey Jefferson;Derron Smith;Demetrious Cox;Fish Smithson;Jamal Carter;Texas;Undrafted;2014;8 3/8;71;New England Patriots
5;Afolabi Laguda;S;203 lbs;4,44;7,14;97,1;126,0;124,2;4,69;11,58;9,91;83,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;25,5;33 3/8;27,5;Kenny Ladler;Jordan Sterns;Denzel Johnson;Kurtis Drummond;Jahleel Addae;Colorado;Undrafted;2018;10    ;72;
6;Alijah Holder;S;191 lbs;4,15;6,7;93,8;121,0;121,7;4,6;10,85;10,17;85,3;;;;;0,0;;;;;0,0;;;;;0,0;;;;0,0;0,0;;;0,0;0,0;98,0;;;;;0,0;;;;;0,0;;;;0.0%;13.5%;36,0;;;;;0,0;;;;;0,0;;;;;0,0;;;;0,0;126,0;;;;;0,0;;;;;0,0;;;;;0,0;;;;;0,0;;;;;0,0;25,0;32 1/2;25,2;Jalen Mills;Marcus Epps;Julian Love;Micah Hyde;Don Carey;Stanford;Undrafted;2019;9 1/2;73;Denver Broncos
7;Alohi Gilman;S;201 lbs;4,08;6,81;99,3;119,0;113,9;4,6;10,89;9,9;89,8;;;;;0,0;;;;;0,0;;;;;0,0;;;;;0,0;;;;0,0;108,3;;;;;0,0;;;;;0,0;;;;;0.0%;32,0;;;;;0,0;;;;;0,0;;;;;0,0;;;;;129,0;;;;;0,0;;;;;0,0;;;;;0,0;;;;;0,0;;;;;0,0;;30 7/8;28,0;Rahim Moore;Andrew Wingard;Jarrod Harper;J.J. Wilcox;Donovan Wilson;Notre Dame;6.07;2020;9 1/4;71;Los Angeles Chargers
8;Alohi Gilman;S;201 lbs;4,08;6,81;99,3;119,0;113,9;4,6;10,89;9,9;89,8;;;;;0,0;;;;;0,0;;;;;0,0;;;;;0,0;;;;0,0;108,3;;;;;0,0;;;;;0,0;;;;;0.0%;32,0;;;;;0,0;;;;;0,0;;;;;0,0;;;;;129,0;;;;;0,0;;;;;0,0;;;;;0,0;;;;;0,0;;;;;0,0;;30 7/8;28,0;Rahim Moore;Andrew Wingard;Jarrod Harper;J.J. Wilcox;Donovan Wilson;Notre Dame;6.07;2020;9 1/4;71;Los Angeles Chargers
9;Alohi Gilman;S;201 lbs;4,08;6,81;99,3;119,0;113,9;4,6;10,89;9,9;89,8;;;;;0,0;;;;;0,0;;;;;0,0;;;;;0,0;;;;0,0;108,3;;;;;0,0;;;;;0,0;;;;;0.0%;32,0;;;;;0,0;;;;;0,0;;;;;0,0;;;;;129,0;;;;;0,0;;;;;0,0;;;;;0,0;;;;;0,0;;;;;0,0;;30 7/8;28,0;Rahim Moore;Andrew Wingard;Jarrod Harper;J.J. Wilcox;Donovan Wilson;Notre Dame;6.07;2020;9 1/4;71;Los Angeles Chargers
